Category,SKU,Title,MSRP,MAP,Current Price,Has speakeasy,Has mapp rules,Problems
MSRP!=MAP (extra tags/price),MC54EN,Marvel Champions: The Card Game -Winter Soldier Hero Pack,18.99,15.19,15.19,True,True,extra_tags
MSRP!=MAP (extra tags/price),MC55EN,Marvel Champions: The Card Game - Trickster Takeover Scenario Pack,23.99,19.19,19.19,True,True,extra_tags
MSRP!=MAP (extra tags/price),MC57EN,Marvel Champions: The Card Game - Synthezoid Smackdown Scenario Pack,26.99,21.59,21.59,True,True,extra_tags
MSRP!=MAP (extra tags/price),MC58EN,Marvel Champions: The Card Game - Wonder Man Hero Pack,18.99,15.19,15.19,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWG01EN,Star Wars: The Deckbuilding Game,37.99,30.39,33.59,False,False,price_wrong
MSRP!=MAP (extra tags/price),SWG02EN,Star Wars: The Deckbuilding Game – Clone Wars,37.99,30.39,33.59,False,False,price_wrong
MSRP!=MAP (extra tags/price),SWG03EN,Star Wars: The Deckbuilding Game – Mandalorian Faction Pack,17.99,14.39,14.39,True,True,extra_tags
MSRP!=MAP (extra tags/price),GGS20249ML,Arkham Horror: Game Night Chest,119.99,95.99,95.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),GGS40167ML,Arkham Horror: Center Game Mat,39.99,31.99,31.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),GGS40168ML,Arkham Horror: Investigator Game Mat,16.99,13.59,13.59,True,True,extra_tags
MSRP!=MAP (extra tags/price),GGS60178ML,Arkham Horror: Chaos Tokens + Token Bag,34.99,27.99,27.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),GGS60191ML,Arkham Horror: Connector Tokens,17.99,14.39,14.39,True,True,extra_tags
MSRP!=MAP (extra tags/price),HIGCARC06EN,Carcassonne Exp 4: V 3.1 Towers & Thieves,18.99,15.19,15.19,True,True,extra_tags
MSRP!=MAP (extra tags/price),HIGCARC11EN,Carcassonne Exp 10: V 3.1 Circus & Artists,18.99,15.19,15.19,True,True,extra_tags
MSRP!=MAP (extra tags/price),HIGCARCBB0102EN,Carcassonne Big Box 2025 v3.1,69.99,55.99,55.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),HIGSTN0101EN,Duel for Cardia,16.99,13.59,13.59,True,True,extra_tags
MSRP!=MAP (extra tags/price),ZM7810,Carcassonne,39.99,31.99,33.59,False,False,price_wrong
MSRP!=MAP (extra tags/price),LIBMYST2501EN,Mysterium 2025 Refresh,49.99,39.99,39.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),ESG50190EN,Great Western Trail - El Paso,39.99,31.99,31.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),LOG007502EN,Patchwork Revised Edition,29.99,23.99,23.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),LOG0156,Forest Shuffle: Dartmoor,27.99,22.39,22.39,True,True,extra_tags
MSRP!=MAP (extra tags/price),LDNV540001,Coming Of Age,54.99,43.99,43.99,True,True,extra_tags
